วิชา,บท,หัวข้อ,สถานะ,ความยาว (นาที),ระดับ,ลิงก์วิดีโอ,ลิงก์เอกสาร,หมายเหตุ
ฟิสิกส์ ม.6,บท 2 ไฟฟ้ากระแส,ohm's Law,ยังไม่ทำ,45,สำคัญ,,,
ฟิสิกส์ ม.6,บท 2 ไฟฟ้ากระแส,วงจรไฟฟ้า,ยังไม่ทำ,60,สำคัญ,,,
ฟิสิกส์ ม.6,บท 2 ไฟฟ้ากระแส, Kirchhoff's Laws,ยังไม่ทำ,60,ยาก,,,
ฟิสิกส์ ม.6,บท 2 ไฟฟ้ากระแส,กำลังไฟฟ้า,ยังไม่ทำ,30,สำคัญ,,,
ฟิสิกส์ ม.6,บท 3 แม่เหล็กไฟฟ้า,สนามแม่เหล็ก,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.6,บท 3 แม่เหล็กไฟฟ้า,แรงบนเส้นลวด,ยังไม่ทำ,45,ยาก,,,
ฟิสิกส์ ม.6,บท 3 แม่เหล็กไฟฟ้า,ไฟฟ้าเหนี่ยวนำ,ยังไม่ทำ,60,ยาก,,,
ฟิสิกส์ ม.6,บท 3 แม่เหล็กไฟฟ้า,Faraday's Law,ยังไม่ทำ,60,สำคัญ,,,
ฟิสิกส์ ม.6,บท 4 ไฟฟ้ากระแสสลับ,AC vs DC,ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.6,บท 4 ไฟฟ้ากระแสสลับ,ค่า RMS,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.6,บท 4 ไฟฟ้ากระแสสลับ,วงจร RL RC RLC,ยังไม่ทำ,90,ยากมาก,,,
ฟิสิกส์ ม.6,บท 4 ไฟฟ้ากระแสสลับ,หม้อแปลง,ยังไม่ทำ,30,ปานกลาง,,,
ฟิสิกส์ ม.6,บท 5 คลื่นแม่เหล็กไฟฟ้า,คลื่นแม่เหล็กไฟฟ้า,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.6,บท 5 คลื่นแม่เหล็กไฟฟ้า,สเปกตรัมคลื่นแม่เหล็ก,ยังไม่ทำ,30,พื้นฐาน,,,
ฟิสิกส์ ม.6,บท 6 ฟิสิกส์อะตอม,โครงสร้างอะตอม,ยังไม่ทำ,45,สำคัญ,,,
ฟิสิกส์ ม.6,บท 6 ฟิสิกส์อะตอม,กัมมันตภาพรังสี,ยังไม่ทำ,45,ปานกลาง,,,
ฟิสิกส์ ม.6,บท 6 ฟิสิกส์อะตอม,นิวเคลียร์ฟิสิกส์,ยังไม่ทำ,60,ยาก,,,
ฟิสิกส์ ม.6,บท 7 ฟิสิกส์ทันสมัย,สัมพัทธภาพพิเศษ,ยังไม่ทำ,90,ยากมาก,,,
ฟิสิกส์ ม.6,บท 7 ฟิสิกส์ทันสมัย,กลศาสตร์ควอนตัม,ยังไม่ทำ,90,ยากมาก,,,
ฟิสิกส์ ม.6,บท 7 ฟิสิกส์ทันสมัย,ทฤษฎีอะตอม,ยังไม่ทำ,60,ยาก,,
